asset_name,license_type,commercial_use,confidence,detection_source,license_file
sherpa-onnx-spleeter-2stems-fp16.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-spleeter-2stems-int8.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-spleeter-2stems.tar.bz2,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET-Inst_1.onnx,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET-Inst_2.onnx,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET-Inst_3.onnx,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET-Inst_HQ_1.onnx,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET-Inst_HQ_2.onnx,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET-Inst_HQ_3.onnx,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET-Inst_HQ_4.onnx,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET-Inst_HQ_5.onnx,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET-Inst_Main.onnx,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET-Voc_FT.onnx,exhausted,unknown,high,scan_exhausted,
UVR-MDX-NET_Crowd_HQ_1.onnx,exhausted,unknown,high,scan_exhausted,
UVR_MDXNET_1_9703.onnx,exhausted,unknown,high,scan_exhausted,
UVR_MDXNET_2_9682.onnx,exhausted,unknown,high,scan_exhausted,
UVR_MDXNET_3_9662.onnx,exhausted,unknown,high,scan_exhausted,
UVR_MDXNET_9482.onnx,exhausted,unknown,high,scan_exhausted,
UVR_MDXNET_KARA.onnx,exhausted,unknown,high,scan_exhausted,
UVR_MDXNET_KARA_2.onnx,exhausted,unknown,high,scan_exhausted,
UVR_MDXNET_Main.onnx,exhausted,unknown,high,scan_exhausted,
