asset_name,license_type,commercial_use,confidence,detection_source,license_file
qnn-include-2.40.0.251030.tar.bz2,exhausted,unknown,high,scan_exhausted,
qnn-libs-2.40.0.251030.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-1-seconds-zipformer-ctc-zh-2025-07-03-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-1-seconds-zipformer-ctc-zh-2025-07-03-int8-linux-x64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-1-seconds-zipformer-ctc-zh-2025-12-22-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-1-seconds-zipformer-ctc-zh-2025-12-22-int8-linux-x64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-paraformer-zh-2023-03-28-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-paraformer-zh-2023-03-28-int8-linux-x64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-paraformer-zh-2025-10-07-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-paraformer-zh-2025-10-07-int8-linux-x64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8-linux-x64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-sense-voice-zh-en-ja-ko-yue-2025-09-09-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-sense-voice-zh-en-ja-ko-yue-2025-09-09-int8-linux-x64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-zipformer-ctc-zh-2025-07-03-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-zipformer-ctc-zh-2025-07-03-int8-linux-x64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-zipformer-ctc-zh-2025-12-22-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-10-seconds-zipformer-ctc-zh-2025-12-22-int8-linux-x64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-13-seconds-paraformer-zh-2023-03-28-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-13-seconds-paraformer-zh-2023-03-28-int8-linux-x64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-13-seconds-paraformer-zh-2025-10-07-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-13-seconds-paraformer-zh-2025-10-07-int8-linux-x64.tar.bz2,exhausted,unknown,high,scan_exhausted,
sherpa-onnx-qnn-13-seconds-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8-android-aarch64.tar.bz2,exhausted,unknown,high,scan_exhausted,
