asset_name,license_type,commercial_use,confidence,detection_source,license_file
sherpa-onnx-spleeter-2stems-fp16.tar.bz2,mit,unknown,high,manual,https://github.com/deezer/spleeter
sherpa-onnx-spleeter-2stems-int8.tar.bz2,mit,unknown,high,manual,https://github.com/deezer/spleeter
sherpa-onnx-spleeter-2stems.tar.bz2,mit,unknown,high,manual,https://github.com/deezer/spleeter
UVR-MDX-NET-Inst_1.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR-MDX-NET-Inst_2.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR-MDX-NET-Inst_3.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR-MDX-NET-Inst_HQ_1.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR-MDX-NET-Inst_HQ_2.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR-MDX-NET-Inst_HQ_3.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR-MDX-NET-Inst_HQ_4.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR-MDX-NET-Inst_HQ_5.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR-MDX-NET-Inst_Main.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR-MDX-NET-Voc_FT.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR-MDX-NET_Crowd_HQ_1.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR_MDXNET_1_9703.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR_MDXNET_2_9682.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR_MDXNET_3_9662.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR_MDXNET_9482.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR_MDXNET_KARA.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR_MDXNET_KARA_2.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
UVR_MDXNET_Main.onnx,mit,unknown,high,manual,https://github.com/anjok07/ultimatevocalremovergui#license
