asset_name,license_type,commercial_use,confidence,detection_source,license_file
3dspeaker_speech_campplus_sv_en_voxceleb_16k.onnx,apache-2.0,yes,high,manual,https://modelscope.cn/models/iic/speech_campplus_sv_en_voxceleb_16k
3dspeaker_speech_campplus_sv_zh-cn_16k-common.onnx,apache-2.0,yes,high,manual,https://modelscope.cn/models/iic/speech_campplus_sv_zh-cn_16k-common
3dspeaker_speech_campplus_sv_zh_en_16k-common_advanced.onnx,apache-2.0,yes,high,manual,https://modelscope.cn/models/iic/speech_campplus_sv_zh_en_16k-common_advanced
3dspeaker_speech_eres2netv2_sv_zh-cn_16k-common.onnx,apache-2.0,yes,high,manual,https://modelscope.cn/models/iic/speech_eres2netv2_sv_zh-cn_16k-common
3dspeaker_speech_eres2net_base_200k_sv_zh-cn_16k-common.onnx,apache-2.0,yes,high,manual,https://modelscope.cn/models/iic/speech_eres2net_base_200k_sv_zh-cn_16k-common
3dspeaker_speech_eres2net_base_sv_zh-cn_3dspeaker_16k.onnx,apache-2.0,yes,high,manual,https://modelscope.cn/models/iic/speech_eres2net_base_sv_zh-cn_3dspeaker_16k
3dspeaker_speech_eres2net_large_sv_zh-cn_3dspeaker_16k.onnx,apache-2.0,yes,high,manual,https://modelscope.cn/models/iic/speech_eres2net_large_sv_zh-cn_3dspeaker_16k
3dspeaker_speech_eres2net_sv_en_voxceleb_16k.onnx,apache-2.0,yes,high,manual,https://modelscope.cn/models/iic/speech_eres2net_sv_en_voxceleb_16k
3dspeaker_speech_eres2net_sv_zh-cn_16k-common.onnx,apache-2.0,yes,high,manual,https://modelscope.cn/models/iic/speech_eres2net_sv_zh-cn_16k-common
nemo_en_speakerverification_speakernet.onnx,cc-by-4.0,yes,medium,manual,https://catalog.ngc.nvidia.com/orgs/nvidia/nemo/models/speakerverification_speakernet
nemo_en_titanet_large.onnx,cc-by-4.0,yes,high,manual,https://huggingface.co/nvidia/speakerverification_en_titanet_large
nemo_en_titanet_small.onnx,cc-by-4.0,yes,medium,manual,https://catalog.ngc.nvidia.com/orgs/nvidia/teams/nemo/models/titanet_small
wespeaker_en_voxceleb_CAM++.onnx,apache-2.0,yes,high,manual,https://github.com/wenet-e2e/wespeaker/blob/master/LICENSE
wespeaker_en_voxceleb_CAM++_LM.onnx,apache-2.0,yes,high,manual,https://github.com/wenet-e2e/wespeaker/blob/master/LICENSE
wespeaker_en_voxceleb_resnet152_LM.onnx,apache-2.0,yes,high,manual,https://github.com/wenet-e2e/wespeaker/blob/master/LICENSE
wespeaker_en_voxceleb_resnet221_LM.onnx,apache-2.0,yes,high,manual,https://github.com/wenet-e2e/wespeaker/blob/master/LICENSE
wespeaker_en_voxceleb_resnet293_LM.onnx,apache-2.0,yes,high,manual,https://github.com/wenet-e2e/wespeaker/blob/master/LICENSE
wespeaker_en_voxceleb_resnet34.onnx,apache-2.0,yes,high,manual,https://github.com/wenet-e2e/wespeaker/blob/master/LICENSE
wespeaker_en_voxceleb_resnet34_LM.onnx,apache-2.0,yes,high,manual,https://github.com/wenet-e2e/wespeaker/blob/master/LICENSE
wespeaker_zh_cnceleb_resnet34.onnx,apache-2.0,yes,high,manual,https://github.com/wenet-e2e/wespeaker/blob/master/LICENSE
wespeaker_zh_cnceleb_resnet34_LM.onnx,apache-2.0,yes,high,manual,https://github.com/wenet-e2e/wespeaker/blob/master/LICENSE
